question,true_short_answer,predicted_short_answer
"Onlar oynamaya devam ederken hakem yan tarafta daireler çizerek ileri geri kaymaya başlar. birkaç başlangıç ​​ve bitişten sonra
Şıklar:
A- Kırmızı gömlekli bir adam kayarak geçiyor.
B- , maçlar devam ediyor ve kaleci her defasında diski bloklamayı başarıyor.
C- , ekip video için tüm kredilerini veriyor.
D- , saat çalıyor ve oyuncular, diğer birçok kişiyle birlikte, sıkı çalışmalarından dolayı tebrik ediliyor.",B,B
"Bir kadın çitin dışındaki kaldırımda seksek yapıyor. o
Şıklar:
A- Asma tahtasının üzerine çıkar ve üzerinde numaralar yapmaya başlar.
B- takla atıyor ve kaldırımda ip atlama hareketi yapan bir adama rastlıyor.
C- sınırın etrafından dolaşıyor, ardından döngü boyunca paralel çubukları takip ediyor ve rutinine yeniden devam ediyor.
D- daha sonra fotoğraflar için poz verirken gösterilir.",D,C
"[başlık] Trambolin spor salonu nasıl kullanılır [başlık] Trambolin spor salonlarının yararları ve dezavantajları hakkında bilgi edinin. [adım] Çok yeni oldukları için birçok kişi trambolin spor salonlarının başlıca faydalarını ve dezavantajlarını anlamıyor. Şunları dikkate aldığınızdan emin olun: [alt adımlar] Trambolin üzerinde zıplamak, geleneksel egzersizleri yapmak için düşük etkili bir yol sunar.
Şıklar:
A- Yumruk ve tekme egzersizleri nedeniyle cimnastikçiler atlama nedeniyle yaralanabilir. Trambolin spor salonları, kullanıcının ani ölümü, yaralanma ve/veya belirli hastalıklar da dahil olmak üzere çok sayıda yaralanmaya neden olabilir.
B- Trambolin spor salonları görünüşte sıkıcı egzersizleri eğlenceli hale getirir. Maliyetleri nedeniyle trambolin spor salonları normal spor salonları kadar erişilebilir olmayabilir.
C- Trambolin spor salonları genellikle engellerden arındırılmıştır, bu nedenle birçok ortak hareketi (amuda kalkmak dahil) kolaylıkla ve eklemlerinize daha fazla baskı uygulayabilecek daha az aceleci bir ortamda gerçekleştirebilirsiniz. Ayrıca bunların kullanımı ve eğitiminizi geliştirmesi çok kolaydır.
D- Trambolin spor salonları, kendinizi tramboline bastırdığınızda vücudunuzun doğru yerde hareket etmesine izin verebilirken, bir trambolin platformu sağlamazlar. Hala atlayabilirsiniz ancak bazı farklı yararları ve sakıncaları vardır.",B,C
"Bir adam okyanus suyunda, elinde bir ip tutuyor. O
Şıklar:
A- bir tekneyle yelken açmaya başlar.
B- teknesinde kürek çekmeye başlar.
C- su kayağı yaparken bir tekneye bağlanır.
D- bir tekneyi sudan çıkarır.",C,D
"Bayan elektrikli tıraş makinesi kullanıyor ve köpeğin saçını tıraş ediyor. Bayan köpeğin kıçını kameraya doğru çeviriyor. köpek
Şıklar:
A- mutlu görünüyor ve bayan uzaklaşıyor.
B- bize damla büyüklüğündeki usturayı gösteriyor.
C- tıraş makinesini bitirir.
D- döner ve oturur.",D,A
"[başlık] Kalem veya kurşun kalem kullanarak bir sınavda nasıl kopya çekilir? [başlık] Kaleminizin üzerine notlar yapıştırın. [adım] Testte çıkacağını bildiğiniz sorularda size yardımcı olması için küçük notlar doğrudan testte kullandığınız kalemin üzerine yapıştırılabilir. Notları ince bir kağıt şeridine yazın ve şeridin tamamını şeffaf bir bantla kapatın.
Şıklar:
A- Şeridi kalemin etrafına yukarıdan aşağıya doğru sarın. Notu okumak için tek yapmanız gereken kalemi çevirmek! [başlık] Notları tahta bir kalemin üzerine yazın veya kazıyın.
B- [alt adımlar] Bu, kağıt üzerinde hiçbir şeyin geride kalmamasını sağlayacaktır. Ayrıca görsel olarak fark edilmeyen kırışık veya çarpık kenarlara da notlar bantlayabilirsiniz.
C- Kağıdı aldıktan sonra, ucu sizden uzak olacak şekilde kalemin üzerine sıkıca bantlayın. Bunu masanızda veya bilgisayarınızda otururken yapın veya kalemi yere itemiyorsanız üstüne ağır bir şey koyun.
D- [alt adımlar] Yapışkan notlar, zor soruları olan testlerde işe yarar. Daha uzun öğeler oluşturmak ve belirli bir konuya daha fazla odaklanmak için bunları şekillere yuvarlayabilir ve ardından kaleminize zımbalayabilirsiniz.",A,A
"[header] Birinin sizden hoşlanmasını nasıl sağlarsınız [title] İyi kişisel hijyen uygulayın. [adım] Kişiyle buluşmadan önce temel bakımınızı yapın: duş alın, saçınızı tarayın, dişlerinizi fırçalayın/diş ipi kullanın, deodorant sürün ve yeni kıyafetler giyin. Ayrıca nane sakızı çiğneyebilir ve üzerine hafifçe parfüm veya kolonya sıkabilirsiniz.
Şıklar:
A- [alt adımlar] En iyi şekilde bakıp kokladığınızda kendinizi harika hissedersiniz. Sonuç olarak, başkalarına daha güvenli ve daha sevimli görünürsünüz.
B- Eğer kişi seninle ilgileniyorsa senden hoşlandığını belirtebilir. Ona harika koktuğunu göster.
C- Ayrıca kişiye dokunmadan önce ellerinizi yıkayın. Eğer onu öperseniz ya da ona dokunursanız, o kişiye bir tür vücut yıkama ürünü kullanmanız gerektiğini söyleyin, dolabınızdan bir tane seçmesini sağlayın ve bir daha ona dokunmayın.
D- Kıyafetinize karar vermeden önce tüm yüz özelliklerinizi yansıtın. [alt adımlar] Aynanız yoksa benzer bir şeye sadık kalın.",A,B
"[header] Arta kalan kereviz nasıl kullanılır? [title] Kerevizi fıstık ezmeli olarak yiyin. [adım] Bu küçük çocuklar arasında çok popüler bir atıştırmalıktır. Çocuklar bundan çok hoşlandıkları için, aynı zamanda seçici yiyicilere sebzelerin lezzetli olabileceğini göstermenin de yararlı bir yoludur.
Şıklar:
A- [alt adımlar] Bu tarifte salatalarda kullanılmak üzere bütün lahana, yaşlı kimyon, domates ve sarımsak kullanılır. Ayrıca ev yapımı limonlu ve misket limonlu salata veya kerevizli başka bir salata da hazırlayabilirsiniz.
B- [alt adımlar] Kereviz yalnızca küçük bir çantada gelir. Bir torba dolusu pişmiş kereviz yemek gerekli değildir, çünkü küçük çocuklar sadece pişirilme şeklini sevdikleri için seçici değildirler.
C- [alt adımlar] Bu atıştırmalığın popüler bir versiyonuna ""kütükteki karıncalar"" denir. Bu atıştırmalığı yapmak için kerevizinizin üzerine fıstık ezmesi sürün ve fıstık ezmesinin üstüne kuru üzüm ekleyin.
D- Büyük porsiyonlar daha fazla açlık kontrolü sağlayacaktır. Kilerinizde ayıracak yeriniz yoksa, kalan kerevizi seçin.",C,C
"[header] Bebeği beslenmek için nasıl uyandırabilirsiniz? [title] Bebeğinizi hafif uyurken uyandırmaya çalışın. [adım] Yetişkinler gibi bebekler de daha hafif veya daha derin bir uykuya dalabilir. Bebeğinizin vücudu bu hafif uyku ve derin uyku aşamalarından geçer.
Şıklar:
A- Bebeğinizi yalnızca hafif bir uykudayken uyandırmaya çalışın, çünkü bu onu derin uykudayken uyandırmaktan daha kolay olacaktır. Bebeğinizin ne zaman hafif bir uykuda olduğunu şu işaretlere bakarak anlayabilirsiniz: [alt adımlar] Bebeğiniz ağzını emiyormuş gibi hareket ettirir.
B- Ancak bebeğinizi doğal bir şekilde uyandırmanın basit bir yolu yoktur. [alt adımlar] Örneğin, ilk uyandığınızda ışık, bebeğinizin idrarında ve dışkısında bulunan ""başarısız"" bir besin maddesini etkinleştirir.
C- Bu genellikle artan uyku hormonu üretiminden kaynaklanır. [alt adımlar] Bebeğinizi normal uyku döngüsüne hazırlamayı deneyin.
D- Bebeğinizin uykusu neredeyse bittiğinde ışıkları kapatın ve bebeğinizi beşiğine yatırın. [alt adımlar] Yatağı aşağı doğru bastırın veya televizyonunuzu kapatın.",A,A
"[header] Nasıl kalfa elektrikçi olunur (biz ) [title] Olası iş kollarına aşina olun. [adım] Kalfa elektrikçiler evlerde ve iş yerlerinde elektrik sistemleri kuruyor. Kabloları, transformatörleri ve devre kesicileri inceler ve onarırlar.
Şıklar:
A- Kalfalık elektrikçi olarak, dış hat görevlisi veya iç kablo görevlisi olarak çalışabilirsiniz. Bir süre kalfa olarak çalıştıktan sonra usta bir elektrikçi olabilirsiniz.
B- Gereken spesifik beceriler işe ve alana göre değişecektir. [alt adımlar] Çıraklık yasası kalfa elektrikçilerin sekiz yıllık çıraklık kurslarını tamamlamasına izin verir.
C- Kalfa elektrikçi olarak hangi pozisyonda olursanız olun, bir evde çalışmak için gerekli becerileri anladığınız ve sizin gözetiminiz altında çalışacak bir elektrikçiyi işe aldığınız sürece, profesyonel sayılırsınız. Çırak olarak geliştirdiğiniz becerilerinizin ve eğitiminizin işe yaradığı yer burasıdır.
D- Kalfalık elektrikçi olarak nasıl başlayacağınız, gelecekteki kariyerinizi büyük ölçüde etkileyebilir. [alt adımlar] Mümkün olan en kısa sürede pratik yapmaya başlayın ve merdivende yukarı doğru ilerleyin.",A,B
"[header] Nar tohumları nasıl filizlenir? [title] Doğal drenajı iyi olan toprağı seçin. [adım] Narın çok fazla toprak gereksinimi yoktur. Hemen hemen her tür işe yarar, ancak iyi drenaja ihtiyacı vardır.
Şıklar:
A- Kil bazlı toprağınız veya drenajı zayıf başka bir tür toprağınız varsa, onu daha gevşek bir üst toprakla değiştirin. [alt adımlar] Görsel bir test, toprağınızın drenajını kontrol etmenin kolay bir yoludur.
B- Bahçe hortumundan iyi bir drenaja erişiminiz varsa, bir tane olduğundan emin olun. Aksi takdirde çöp depolama alanı harika bir seçenektir.
C- [alt adımlar] Hafifçe drenajlı bir alan genellikle yeterlidir. Derin drenajlı toprak içeren bir yer seçin, böylece daha iyi drenaja izin verir.
D- İyi drenaj koşulları bitkinin büyüme geçmişine göre belirlenir. Bu şekilde, son donlar geçtikten sonra ilkbaharda tohumlarınızı sulayabilirsiniz ve farklı toprak koşulları daha iyi tohumlar üretir.",A,C
"Bir adam bankta öne doğru eğiliyor. diğer adam
Şıklar:
A- onun yanında mı duruyor?
B- ona bir hayvanın boynunu nasıl tutabileceğini ve dişlerini nasıl kesebileceğini gösteriyor.
C- sırtına güneş losyonu sürüyor.
D- onun arkasında kürek çekiyor.",C,A
"[header] Birini bir şey almaya nasıl ikna edebilirim? [title] Ürünü açıklayan kısa bir paragraf yazın. [adım] Ürün açıklamasını yaklaşık 4 veya 5 cümleyle sınırlandırın. Bu, konuklara ürünün ne olduğu hakkında doğru bir fikir vermek için yeterlidir.
Şıklar:
A- Öte yandan, açıklamanın uzun olması gerekmiyor. 3 ila 4 paragraf kullanmak iyi olacaktır, ancak ürününüzün faydalarını ve koşullarını ifade eden mümkün olduğunca çok sayıda cümle toplayın.
B- Eğer bir şey satın almanız söyleniyorsa, giriş kısmını kısa ve öz bir şekilde yazın. [alt adımlar] Örneğin şöyle yazabilirsiniz: ""Bu ürün onlara uzun süre keyif verecektir.
C- [başlık] Ürünü mümkün olduğunca ayrıntılı olarak açıklayın. [adım] Yeterli ayrıntıyı eklemezseniz aşırı belirsiz görüneceksiniz.
D- Daha uzun açıklamalar işe yaramaz çünkü önemli ayrıntılar metinde kaybolur ve çoğu müşteri metnin tamamını okumaz. [title] Açıklamada canlı ama basit kelimeler kullanın.",D,D
"[header] Diyabet hastalarında dışarıda nasıl yemek yenir? [title] Yemeğinizin zamanını insülin veya ilacınızla aynı zamana denk gelecek şekilde ayarlayın. [adım] Kan şekerinizin uygun aralıkta kalması için normal yemek zamanlarında yemek en iyisidir. Yemek arkadaşlarınıza sizin için en uygun zamanın hangisi olduğunu söyleyin.
Şıklar:
A- [title] Yemek yemiyormuşsunuz gibi bir his fark ederseniz yemeyi bırakın. [adım] Yemeğinizi yerken yavaş yemeye odaklanın.
B- [alt adımlar] Yemeklerinizi zamanlarken daima doktorunuza danışmalısınız. Bu, vücudunuzun onların maaş bordrosunda olduğunuzu anlamasına yardımcı olur.
C- [alt adımlar] Eğer şeker hastasıysanız günde altı öğün yemeyebilirsiniz. Ancak şeker hastalığınız varsa, kan şekerinizi takip edebilecek kadar yediğiniz sürece altı öğün yemenizde bir sakınca yoktur.
D- [alt adımlar] ""Normal akşam yemeği saatim akşam 6:00, bu nedenle kan şekerimi sabit tutmak için bu saatlerde yemek yemem gerekecek"" diyebilirsiniz. İş öğle yemeklerini normal öğle yemeği saatiniz içinde planlayın.",D,D
"Küçük bir grup insanın kumsalın etrafında durduğu görülüyor. Daha sonra bir kişi topu başka bir kişiye havaya fırlatır. insanlar
Şıklar:
A- birbirinizle oynamaya ve topu bir ağaca doğru atmaya devam edin.
B- daha sonra birbirinizle voleybol oynayın.
C- uzaktan oyun oynamaya devam edin.
D- Sopaları kullanarak plaj futbolu oynamaya devam edin.",B,B
"[header] Tatlı masası nasıl oluşturulur [title] Bir tema seçin. [adım] Tatlılarınız ve süslemeleriniz temanıza odaklanacak. Örneğin, düğün temalı bir masa, düğün pastasına odaklanan süslü yemekler içerebilirken, cadılar bayramı temalı bir tatlı masası, ufalanmış kekler ve sakızlı solucanlardan yapılmış sahte bir mezarlık gibi kitsch tatlıları içerebilir.
Şıklar:
A- [alt adımlar] Buna "" parfe "" de diyebilirsiniz. Bir parfede siz ve partneriniz çeşitli farklı yiyecek ve içeceklere sahip olabilirsiniz.
B- [alt adımlar] Cadılar Bayramı temalı bir masa için son teknoloji ürünü bir masa düşünün. Bunlar, yukarı ve aşağı eğim yapma eğiliminde oldukları için zamanla daha iyi dayanmayacaktır.
C- [alt adımlar] Temanızı doğum günü, düğün veya tatil gibi özel durumla eşleştirin. Noel partilerinin güncel bir teması, kış teması veya Noel Baba'nın atölyesi teması olabilir.
D- [title] Alan olarak kullanabileceğiniz bir tablonun bütçesini oluşturun. [adım] Ayakta durabileceğiniz kadar sağlam, bir pastanın ağırlığını taşıyabilecek ve tüm tatlı parçalarınızı alabilecek kadar büyük masalar arayın.",C,C
"[header] Kingsoft Office Writer 2013'te resimler nasıl yeniden boyutlandırılır? [title] Yeniden boyutlandırmak istediğiniz resme tıklayın. [adım] Resmin çevresinde sekiz küçük kare görünecektir. [title] Sol fare düğmesini basılı tutun ve fareyi yeniden boyutlandırma yönü boyunca sürükleyin.
Şıklar:
A- [adım] Bu resmin ayrıntılarını aşağıda bulacaksınız. Bir dakika içinde yürürlüğe girecek olan genel süreci özel resimde göreceksiniz.
B- [adım] Resmin boyutundaki potansiyel değişikliği gösteren bir gölge görünecektir. [alt adımlar] Resmi yatay veya dikey olarak yeniden boyutlandırmak için imleci, resmin her kenar çizgisinin ortasındaki dört küçük kareden herhangi birine taşıyın.
C- [adım] Artık iki küçük daireyle ayrılmış daha küçük bir dikdörtgene sahip olmalısınız. [başlık] Resme tıklayın ve ""yeniden boyutlandır""ı seçin.
D- [adım] Geçerli resim artık 78 mm boyutuna kırpılacak ve 6 inç (15 cm) genişliğinde ve 24 inç (51 cm) olarak kalacaktır. [alt adımlar] Alternatif olarak resmin tamamının yanındaki onay işaretine tıklayın.",B,B
"[başlık] Excel'de finanse edilen tutar nasıl hesaplanır? [başlık] Hücre sınırları oluşturun. [adım] b1 hücresine tıklayın ve b1'den e1'e kadar olan hücreleri seçmek için sürükleyin. Biçimlendirme araç çubuğunda kenarlıklar düğmesindeki oka tıklayın ve mevcut seçeneklerden "" kenarlıkların dışında "" seçeneğini seçin.
Şıklar:
A- Şimdi b2'den e2'ye kadar olan hücreleri seçmek için tıklayıp sürükleyin. Biçimlendirme araç çubuğunda, kenarlıklar düğmesindeki oka tıklayın ve menü seçeneklerinden ""kalın alt kenarlıklar"" seçeneğini seçin.
B- Dış kenarlıklar araç çubuğunda b2'den e1'e kadar olan hücreleri seçin. İç kenarlıklar araç çubuğunda b2'den e1'e kadar olan hücreleri seçin.
C- Daha sonra b1'den e1'e kadar olan hücrelerde kenarlıklar oluşturun. [alt adımlar] Bu, örneğin b2 hücresinde kesikli bir kenarlık oluşturacaktır.
D- Enter tuşunu basılı tutarak ve ana metin paletine sürükleyerek hücre kenarlığına bir ad verin. [başlık] "" Hücre sınırı "" değerini anlamak için b2 hücresine ve "" kenarlığın dışında "" sütun numaralarını girin.",A,A
"[header] Yaratıcılığınızı nasıl geliştirebilirsiniz [title] Bir odanın ortasında durun. [adım] Duvarlarda veya tavanda yürüdüğünüzü hayal edin. [başlık] Dışarı çıkın.
Şıklar:
A- [adım] Yaratıcılığınızı geliştirmek istediğinizde, bacaklarınızı açarak ayaklarınızın üzerinde başlayın. Başlamak için kendinizi kör edebilirsiniz! [title] Ayaklarınıza biraz çilek boyası sürün.
B- [adım] Beton yerine asfalt yollardan veya merdivenlerden başlayın. [title] Düşük ses seviyesinde müzik dinleyin veya kulaklıklarınızı takın.
C- [adım] Dışarı çıkın ve dışarıda olmanın gerçekte nasıl bir şey olduğunu görmek için hayal gücünüzü kullanın! Veya dünyayı kafanızda deneyimlemeyi deneyin. Gerçekçi olmayan ve tatsız bir zaman veya yer olmadığından emin olun.
D- [adım] Gözlerinizi kapatın ve rastgele bir renk seçin. Bu renkteki herhangi bir şeyi bulmaya çalışmak için gözlerinizi açın.",D,C
"[başlık] Yoksunluk belirtileri nasıl tedavi edilir? [başlık] Alkol veya uyuşturucuyu bırakma tedavisi için tıbbi yardım alın. [adım] Alkolü, narkotikleri ve benzodiazepinleri bıraktıktan sonra vücudunuzun maruz kaldığı geri çekilme, tıbbi gözetim olmadan ölümcül olabilir. Bırakmaya karar verdiğinizde doktorunuzla randevu alın.
Şıklar:
A- Maddeyi inceleyecek, herhangi bir yoksunluk belirtisinin ciddiyetini belirleyecek ve bağımlılıktan kaçınmanıza ve üstesinden gelmenize yardımcı olmak için arkadaşlarınız ve ailenizle faaliyetleri koordine edeceklerdir. [alt adımlar] Alışkanlığınızı kullanmakta ve durdurmakta zorluk yaşıyor olsanız bile, nasıl hissettiğinizi açıklayarak doktorunuzu aramak veya e-posta göndermek isteyebilirsiniz.
B- Onlardan sizin için bir tedavi planı önermelerini isteyin ve bunu bir danışmanla görüşün. Aşağıdaki bilgileri aklınızda tutmayı unutmayın: [alt adımlar] İsim, çekilme tarihi ve kullandığınız ilaç.
C- Tedaviye başlamak istiyorsanız ilaçlarınızı doktorunuzla tartışın. [alt adımlar] Tekrar alkol kullanmaya başladığınızda doktorunuzla birlikte çalışmayı planlayın.
D- [alt adımlar] Onlara tüketim oranınızı söyleyin: bu maddeyi ne sıklıkta, ne kadar ve ne kadar süredir kullandığınızı. Bu bilgi doktorunuzun sizin için en iyi tedavi planını yapmasına yardımcı olacaktır.",D,A
"[header] Krem göz farı nasıl uygulanır [title] Bir göz farı seçin. [adım] Krem göz farının uygulanması zor olabilir. Alışırken nötr veya nude tonlara sadık kalın, böylece hataları kolayca karıştırabilirsiniz.
Şıklar:
A- Biraz pratik yapana kadar su geçirmez çeşitlerden kaçının. [title] Göz farının tazeliğini kontrol edin.
B- Ancak cesur tonlardan kaçının ve çoğunlukla nötr renklere sadık kalın. Göz farınız yüzünüze uyguladığınız makyajdır.
C- [alt adımlar] Doğal bir görünüm istiyorsanız çay kaşığı veya espresso renklerini deneyin. [title] Kapatıcıyı gözünüzün köşesine astarla karıştırın.
D- Bazı göz farı renkleri şunları içerir: [alt adımlar] Altın rengi, ten rengi, koyu kırmızı, mor veya kırmızımsı. [title] Yüzünüzü astarlayın ve bir miktar astar ile sabitleyin.",A,C
"Siyah gömlek giymiş, saçlarını önden ve arkadan gösterecek şekilde daireler çizen genç bir adam var. Daha sonra bir sprey şişesi alıp saçına su sıkıyor ve tarıyor. O
Şıklar:
A- sonra bir ustura alıp başının yanlarını ve arkasını tıraş etmeye başlar.
B- sonra her yerini ovalar ve saçını taramaya devam eder.
C- daha sonra elleriyle tutarak saçını çekiyormuş gibi yapmaya başlar ve başına yaslanıp eğlenmeye başlar.
D- sonra kanosuna geri döner ve daireler çizerek dönmeye başlar.",A,C
"[header] Netflix'te hediye aboneliği nasıl satın alınır [title] Amazon hesabınızı açın. [adım] Otomatik olarak oturum açmadıysanız, e-posta adresinizi ve şifrenizi yazın ve "" oturum aç "" tuşuna basın. [title] Arama çubuğuna "" netflix hediye kartları "" yazın.
Şıklar:
A- [adım] Amazon'da "" oturum aç "" kutusuna gidin ve devam etmek için bilgilerinizi girin. [başlık] ""Hediye kartları bedava"" yazan bağlantıya tıklayın.
B- [adım] Arama çubuğu Amazon sayfasının üst kısmında bulunur. [title] Arama yapmak için büyüteci tıklayın.
C- [adım] Amazon.com hesabınıza ulaşmak için sağ üst köşedeki dolar işareti simgesine basın. [title] Amerika Birleşik Devletleri ürünleri bölümüne erişmek için sol üstteki "" hediye kartları ""na dokunun.
D- [adım] Bu sizi Netflix distribütörlerinin web sitesine götürecektir. [title] E-posta listesinden "" hediye kartları "" seçeneğini seçin.",B,C
"Bir odada duran bir adam görüyoruz. Adam tai chi yapmaya başlar. Adam dönüp sola bakıyor. adam
Şıklar:
A- sağa doğru döner.
B- kamera için dans etmeye başlar.
C- tai chi'yi oturur pozisyonda gösterir.
D- çömeliyor ve içiyor, sonra dönüp odadan çıkıyor.",A,A
"[başlık] Lenfödem nasıl önlenir? [başlık] Lenfödem belirtileri fark ettiğiniz anda doktorunuza danışın. [adım] Lenfödemin belirtileri arasında kollarda, bacaklarda, ellerde, parmaklarda, boyunda veya göğüste şişlik yer alır. Şişme veya başka belirtiler fark ederseniz (aşağıya bakınız) derhal doktorunuzla randevu alın.
Şıklar:
A- Herhangi bir su toplamasını, çarpmayı veya acıyı gidermek önemlidir; tıbbi tedavi sırasında yalnızca daha da kötüleşecektir. Lisanslı bir hasta veya aile evde sağlık kliniğinde bir doktora görünün.
B- [alt adımlar] Lenfödemin erken belirtilerini tanımak, durumun kötüleşmesini önlemenin en iyi yollarından biridir. Lenfödemin tedavisi yoktur ancak erken tedavi belirtileri en aza indirebilir ve diğer belirtilerin ortaya çıkmasını önleyebilir.
C- [alt adımlar] Lenf düğümleri genellikle boynunuzda, ayaklarınızın üstünde veya uyluklarınızın altında bulunur. Lenf düğümleri her iki ayağınızda, genellikle koltuk altlarınızda ve dizlerinizin arkasında bulunur.
D- [alt adımlar] Semptomlar arasında ağrı veya kızarıklık, parmaklarda, çenede veya eklemlerde iltihaplanma, kas ağrısı veya zayıflığı, tendon ağrısı ve hızlı kalp atışı gibi hafif ila orta şiddette semptomlar bulunur. [başlık] Eklemlerde sıvı birikmesine dikkat edin.",B,B
"[header] Ağartılmış sarı saçların bakımı nasıl yapılır [title] Daha az sıklıkta şampuanlayın. [adım] Şampuanlar saçtaki kiri ve yağı temizlemek için tasarlanmıştır, ancak aynı zamanda saçınızın doğal kütikülünü de soyabilir. Çamaşır suyu da aynı şeyi yapar, bu nedenle her gün şampuanlamak sadece katmanlara zarar verir.
Şıklar:
A- Köklerden başlamak ve oradan yukarıya doğru ilerlemek en iyisidir. Gerektiğinde daha fazla ürün eklemek, saçınızı yıkamak, nemlendirmek ve şampuanla ona zarar vermek için harcadığınız zamanı, saçınız artık ağarmış sarı olmayana kadar azaltır.
B- Uzun saçlı ve saçları ağarmış insanlar, saçlarını iki veya üç günde bir yıkamak ve bakım yapmak zorunda kalmaktan hoşlanmayabilirler. Mümkün olduğunda haftada bir günü saçınızı şampuanlamaya ayırın.
C- Saçınıza çamaşır suyu uygulamadan önce bunu dikkatlice düşünün, aksi takdirde daha fazla hasara neden olabilirsiniz. [alt adımlar] Ağarmış saçlarınızı gerçekten mümkün olduğunca beyaz tutmak istiyorsanız, daha sık şampuanlayın.
D- [alt adımlar] Saçlarınızı özellikle ilk birkaç haftada her üç ila dört günde bir yıkayın. Yıkamalar arasında geçirebileceğiniz süreyi uzatmak için köklerinize püskürtmek üzere hafif bir kuru şampuan satın alın.",D,B
"[header] Dövüşte daha güçlü bir insan nasıl yenilir? [title] Vuruş ve boğmalarla boğazlarına saldırın. [adım] Boğaz insan vücudunun zayıf noktasıdır. Kendinizi savunurken yumruk veya vurarak boğazlarına saldırın.
Şıklar:
A- Bunu aklında tut; misilleme yapmak sizi savunmaya itebilir ve ciddi ciddi yaralanmalara yol açabilir. [alt adımlar] Karşınızdaki kişinin boğazı sizden daha güçlü bir şeye darbe vuramayacak kadar dar olabilir.
B- Bunu sağ elinizle veya sol elinizle yapabilirsiniz. [alt adımlar] Bu, saldırınızı daha güçlü ve daha hızlı hale getirir.
C- Kolunuzu tamamen boynuna dolayabiliyorsanız, şah damarına baskı uygulayarak bilinç kaybına neden olabilirsiniz. Bu arter boynun her iki yanında da bulunur ve kapanması için yalnızca 11 kiloluk basınç yeterlidir.
D- Her zaman boğazınıza güçlü bir yumrukla vurun ve bunun tersi de geçerlidir. [alt adımlar] Zayıf bir nokta, saldırı kadar güçlü veya zayıf olabilir, ancak genel olarak daha zayıftır.",C,C
"[başlık] Kıl dönmesi kisti nasıl tedavi edilir? [başlık] Doktorunuza görünün. [adım] Evdeki ilaçları denedikten sonra hiçbir rahatlama sağlamadıktan sonra kıl dönmesi kisti enfeksiyon kapmışsa bir doktora görünmeniz önerilir. Kist enfeksiyon kapmış gibi görünüyorsa, yani ağrılı, sıcak, şişmiş veya ciltte kızarıklık varsa ya da semptomlar kötüleşiyorsa doktorunuzu arayın.
Şıklar:
A- Doktorunuz sizin için teşhis ve tedavi seçeneklerini belirleyecektir. [alt adımlar] Mevcut enfeksiyonlar nedeniyle doktorunuzu göremiyorsanız ve tedavi görmek veya alternatif önermek istiyorsanız bir hekime başvurun.
B- [başlık] Kisti başparmak ve işaret parmakları arasına yerleştirin. [adım] Kisti başparmak ile işaret parmağı arasına koyun ve çevresindeki cildi ılık suya batırın.
C- Bir kisti kendi başınıza boşaltmaya çalışmanız önerilmez. [alt adımlar] Bir kistin enfekte olduğunu düşünüyorsanız, bir doktor tarafından görülünceye kadar onu temiz ve kapalı tutun.
D- Doktorunuz, hiv gibi tıbbi bir nedeni veya semptomlarına katkıda bulunabilecek başka herhangi bir tıbbi nedeni dışlamak için kisti değerlendirecektir. [title] Kisti sargı altındayken tedavi edin.",C,A
"Çeşitli sporlar yapan kişilerin yer aldığı kısa bir tanıtım videosu belirir. video
Şıklar:
A- Rubix küpünü gösterme zamanı geldi, ardından da rubix küpünü çözmek için mevcut olan farklı stratejilerden bahseden bir adam geldi.
B- playa con tuehl adlı bir video oyunuyla ilgili gibi görünüyor ve ekranda wipicson new jersey yazısı görünüyor.
C- Daha sonra tenise giriyor ve bir tenisçi tekniğini açıklıyor.
D- bir buz hokeyi topunun nasıl parçalanacağıyla ilgili.",C,C
"[başlık] Narlı martini nasıl yapılır [başlık] Basit bir şurup yapın. [adım] Küçük bir tencerede 1/2 bardak (113 g) toz şekeri 1/2 bardak (115 ml) suyla birleştirin. Isıyı en aza indirin ve karışımı şeker eriyene kadar pişirin.
Şıklar:
A- Isıyı kapatın ve şurubu soğuyuncaya kadar soğutun. [alt adımlar] Bir narlı martini yapmak için tüm basit şuruplara ihtiyacınız olmayacak.
B- Karışım yavaşça kabarcıklanıp hafifleştiğinde ısıyı düşük seviyeye düşürün. 2 yemek kaşığı (36 ml) şekersiz kakao veya akçaağaç şurubunu karıştırın.
C- Kaynamaya başladığında ocaktan alın ve soğumasını bekleyin, bu 5 ila 7 dakika sürecektir. [alt adımlar] Tipik bir küp köpüklü su bazlı şurup, çok tatlı ve basit bir çözüm oluşturur.
D- Şeker tamamen eriyince tavayı ocaktan alın. [alt adımlar] Şeker çözündüğünde suyun tadı sirke gibi olacaktır.",A,C
